Name                               ,IMDb Rating ,Running Years                                                    ,Information
Friends                            ,8.8         ,1994–2004                                                        ,"When Joey, Rachel, Ross, Monica, Chandler, and Phoebe—played by the unforgettable ensemble cast of Matt LeBlanc, Jennifer Aniston, David Schwimmer, Courteney Cox, Matthew Perry, and Lisa Kudrow—got together in “Friends,” it was television magic. One of the most popular sitcoms of all time, the show earned 62 Primetime Emmy nominations, winning Outstanding Comedy Series in 2002. It launched the TV and film careers of all of its cast members, and sparked the short-lived spinoff, “Joey.” In 2021, HBO Max aired a long-awaited “Friends” reunion special starring the original cast."
Narcos                             ,8.8         ,2015–2018                                                        ,"One of the most popular original shows on Netflix, “Narcos” was a gripping drama that followed the real-life stories of the Colombian drug trade of the late 1980s. While seasons one and two focused on the infamous drug kingpin Pablo Escobar, season three picked up after his fall and the rise of Cali Cartel. The series has been nominated for a number of awards, including three nominations at the Emmys. Additionally, the show spawned a spinoff, titled ""Narcos: Mexico."""
The Mandalorian                    ,8.8         ,2019–present                                                     ,"The breakout hit of streaming platform Disney+, “The Mandalorian” is the first live-action “Star Wars” series and set in the timeline between “Episode VI – Return of the Jedi” and “Episode VII – The Force Awakens.” In creator Jon Favreau’s first season, the titular Mandalorian (aka Din Djarin, played by Pedro Pascal) navigates the outer depths of the galaxy as a bounty hunter and, of course, protects The Child (aka Baby Yoda) from capture. “The Mandalorian” has brought home 14 Emmy Awards to date, including Outstanding Production Design For A Narrative Program (Half-Hour) in 2020."
Better Call Saul                   ,8.8         ,2015–present                                                     ,"This spinoff of AMC’s flagship series “Breaking Bad” takes place before and after the events of that show, focusing on the life of sleazy attorney Saul Goodman, played by Bob Odenkirk. Since its premiere, the show has garnered a number of accolades, including 21 Primetime Emmy Awards, 11 Writers Guild of America Awards, and four Golden Globe Awards. Although it had big shoes to fill, the show managed to surpass critics' expectations, while scratching an itch for “Breaking Bad” fans suffering from cancellation withdrawal. Its sixth and final season will premiere in 2022."
Dark                               ,8.8         ,2017–2020                                                        ,"Some of the themes of the sci-fi show “Dark” include time travel, child abduction, disappearance, nuclear power, and conspiracy. Netflix’s first German-language original series has drawn universal acclaim and proven a stout contemporary and competitor of “Stranger Things.” Its third season was the final for the brooding, mysterious, ever-twisting series that continued to build surprising connections between the families, relationships, and time—perhaps the central figure—in the fictional Winden. The show concluded with a third and final season in June 2020."
Seinfeld                           ,8.8         ,1989–1998                                                        ,"Regularly referred to as one of the best TV shows of all time by Entertainment Weekly, Rolling Stone, and TV Guide, “Seinfeld’s” iconic characters, storylines, and catchphrases have become an indelible part of popular culture. Created by Larry David and Jerry Seinfeld in 1989, the show launched the careers of Seinfeld and co-stars Julia Louis-Dreyfus and Jason Alexander, while Michael Richards’ Kramer character became unforgettable. It won an Emmy in 1993 for “Outstanding Comedy Series,” and has been nominated for 68 awards overall.  "
It's Always Sunny in Philadelphia  ,8.8         ,2005–present                                                     ,"Its main characters may work in a bar, but this show is no “Cheers.” Caustic, cynical, crass, and hilarious, “It's Always Sunny” delights in pushing the boundaries of good taste far beyond what would fly in a network show. The first season took a while to find its comedic footing, but since season two, which kicked off with Danny DeVito joining the cast, the show has received universal acclaim from critics. Among its accolades include three consecutive Outstanding Stunt Coordination For A Comedy Series Or A Variety Program Emmy nominations. When it was renewed for a 15th season in 2020, it became the longest-running live-action comedy series in American history."
Twin Peaks                         ,8.8         ,"1990–1991, 2017"                                                ,"It’s astounding that a show this strange was able to land a network TV time slot in the early 1990s. The show follows the investigation of FBI Special Agent Dale Cooper (Kyle MacLachlan) into the murder of a homecoming queen in a Washington logging town. While the premise makes it sound like a run-of-the-mill primetime procedural, the delivery from creators Mark Frost and David Lynch was truly bizarre. Combining surrealism, melodrama, horror, and comedy with movie-quality visuals, “Twin Peaks” stands as one of the most original pieces of American television ever made. The show was resurrected by Showtime in 2017 for a limited-run series featuring many of the original cast members to the delight of fans everywhere. Following its overall run, the show claimed two Emmy Awards."
Ted Lasso                          ,8.8         ,2020–present                                                     ,"In the midst of the COVID-19 pandemic, Apple TV+ delivered its sentimental comedy “Ted Lasso,” which follows an earnest American football coach brought on to lead the floundering AFC Richmond, an English Premier League soccer club."
Last Week Tonight with John Oliver ,8.8         ,2014–present                                                     ,"When fans of Jon Stewart’s “The Daily Show” were looking for a new voice of reason when he retired in 2015, John Oliver was there. Oliver, who won an Emmy for his work on “The Daily Show,” now serves as host of his own popular weekly primetime show on HBO. It has been nominated for—and has won—a number of awards. Among the show's accolades include the Television Academy Honors at the Emmy Awards in 2017."
The West Wing                      ,8.8         ,1999–2006                                                        ,"Created by Aaron Sorkin, this NBC political drama peered into the workings of a fictional White House under the leadership of a Democratic president played by Martin Sheen. Critics praised the show’s smart writing and brisk walk-and-talk pacing. In terms of viewership, ""The West Wing"" was especially popular among high-income audiences, making its commercial breaks desirable for advertisers. The show took home 26 of the 95 Emmys for which it was nominated, including Outstanding Drama Series."
Stranger Things                    ,8.7         ,2016–present                                                     ,"The Duffer brothers created this phenomenally successful ’80s original thriller series for Netflix in the summer of 2016. It sparked a cultural revolution that boosted sales of Eggo waffles, left fans worried about Barb, and had audiences begging for more after binge-watching sessions. Among the 38 nominations the beloved show earned at the Emmys, “Stranger Things” has since claimed seven honors at the awards."
House of Cards                     ,8.7         ,2013–2018                                                        ,"“House of Cards,” which is often referenced as the case study for Netflix and the new era of television developed based on “big data,” was an adaptation of the 1990 BBC miniseries of the same name. Netflix's interpretation earned 56 Emmy nominations, winning seven trophies. The acclaimed political thriller, which starred Kevin Spacey and Robin Wright, suspended production after allegations of sexual assault and harassment came out against Spacey, then severed ties with the actor for good. Its final season starred Wright and dropped in 2018."
House                              ,8.7         ,2004–2012                                                        ,"Hugh Laurie played a physician who made up for his poor bedside manner with diagnostic skills that bordered on genius. Each episode presented a new medical mystery for him to solve, and although it strained believability, the formula made for engrossing TV. Critics raved about Laurie’s performance, which earned him back-to-back Golden Globes for Best Performance by an Actor in a Television Series–Drama in 2006 and 2007."
South Park                         ,8.7         ,1997–present                                                     ,"This foul-mouthed animated satire from creators Trey Parker and Matt Stone pushes the boundaries of good taste to a breaking point, making “The Simpsons” look tame by comparison. A breakout hit for Comedy Central, this show put the fictional town of South Park, Colorado, on the pop culture map and made Kenny, Kyle, Stan, and Cartman (and the series creators) household names. The show also spawned a big-screen adaptation, as well as two hit video games."
The Boys                           ,8.7         ,2019–present                                                     ,"This Amazon Prime original imagines a world where superheroes are immoral and instruments of corporate capitalism. “Hughie” Campbell plays an everyman whose girlfriend is killed as collateral damage to a speedster superhero, who is a member of “The Seven,” the world’s most famous superhero team. Hughie then joins a group of vigilantes led by Billy Butcher (Karl Urban), whose goal is to take down the “Supes” through violence and uncovering their dark hidden secrets. The show, which has received numerous accolades, won Best Superhero Television Series at the Saturn Awards in 2021."
Arrested Development               ,8.7         ,"2003–2006, 2013–2019"                                           ,"Debuting in 2003 and revived in 2013 by Netflix, the quirky comedy “Arrested Development” followed the dysfunctional Bluth family as they navigated life after the family patriarch was imprisoned. Starring Jason Bateman, Michael Cera, Will Arnett, Portia De Rossi, and Jessica Walter, the critically acclaimed show won six Primetime Emmy Awards and a Golden Globe. Even so, the series was canceled due to low ratings on Fox in 2006. Some critics have said that “30 Rock” and “Community” were inspired by the show’s offbeat sensibility."
Rome                               ,8.7         ,2005–2007                                                        ,"This ambitious HBO sword-and-sandals epic followed two Roman soldiers whose onscreen lives intertwined with actual historical events. The series received positive reviews for its impressive visuals and R-rated thrills. But, like the Roman empire itself, the show’s size and scope were its downfall: HBO was forced to ax it from the schedule after its second season because of budgetary concerns. Among the 15 Emmys for which it was nominated, the show claimed seven trophies."
Battlestar Galactica               ,8.7         ,2004–2009                                                        ,"This Syfy Channel remake vastly improved upon the cheesy 1970s original with excellent special effects, politically astute plotlines, and a first-rate cast. Bucking the trend of youthful casting, series creator Ronald D. Moore opted for seasoned actors for his leads: Edward James Olmos as the captain of the titular starship and Mary McDonnell as the secretary of education who’s thrust into the role of president by succession laws after most of humanity is wiped out by robot-esque Cylons. With its tense plotlines, first-rate performances, and surprisingly deep themes, “Battlestar Galactica” was one of the best science fiction shows ever to hit the small screen. In its run, the show gathered 25 Emmy nominations, winning five."
Freaks and Geeks                   ,8.7         ,1999–2000                                                        ,"Before Judd Apatow became a household name through movies, he created this short-lived comedy-drama for NBC. Although it only ran a single season, it has developed a cult following over the years for its unflinching and heartfelt portrayal of teenage awkwardness. The show introduced several actors who would go on to become regulars in Apatow projects, including Seth Rogen, Jason Segel, Martin Starr, and James Franco. Following its short-lived run, “Freaks and Geeks” was nominated for three Emmys, winning Outstanding Casting For A Comedy Series in 2000."
BoJack Horseman                    ,8.7         ,2014–2020                                                        ,"In this animated Netflix series, a former sitcom star voiced by Will Arnett attempts to reignite his showbiz career. Oh, and he happens to be an anthropomorphized horse. While many reviewers found the show’s first season too short on laughs to justify its bizarre premise, subsequent seasons added surprising depth to the BoJack character and drew acclaim from audiences and critics alike. The show, which received three Emmy Award nominations, was twice nominated for the Emmy for Outstanding Animated Program."
Six Feet Under                     ,8.7         ,2001–2005                                                        ,"This HBO drama about a family-run funeral home featured a unique gimmick: each episode began with the arrival of a new corpse. The show’s final episode, which stared down the mortality of its characters as it fast-forwarded the full remainder of their lives, has been hailed as one of the best series finales of all time. At the Emmy Awards, the show claimed nine of the 53 trophies for which it had been nominated."
Dragon Ball Z                      ,8.7         ,1996–2003                                                        ,"Possibly the most famous anime series of all time is “Dragon Ball Z,” with its equally famous protagonist Goku. A sequel to the original “Dragon Ball” anime and a continuing adaptation of the manga of the same name, “Z” portrayed Goku’s adult life as he and his companions defended the world from a host of villains and enemies. The show had two other sequel shows, as well as a remastering called “Dragon Ball Kai.”"
Curb Your Enthusiasm               ,8.7         ,2000–present                                                     ,"“Seinfeld” creator Larry David plays a fictionalized version of himself in this heavily improvised, award-winning HBO comedy. David’s onscreen persona has a talent for generating awkward, uncomfortable, and hilarious situations that have long delighted audiences and critics alike. Offscreen, David has declared himself done with the character numerous times, sometimes taking long hiatuses between seasons, which is why it took him 17 years to make the first nine seasons of the show."
Oz                                 ,8.7         ,1997–2003                                                        ,"HBO’s first one-hour drama, set in a maximum security prison, rewrote all the rules of television and set the table for the network’s future as the go-to destination for prestige television. While it’s a little rough around the edges by today’s standards, the show holds up as a gritty, uncompromising, character-driven look into life inside a correctional facility. J.K. Simmons gives a standout performance as an alpha-male white supremacist inmate. The show received two Emmy nominations following its run."
The Marvelous Mrs. Maisel          ,8.7         ,2017–present                                                     ,"Amy Sherman-Palladino’s “The Marvelous Mrs. Maisel” has garnered enough major awards to leave no doubt as to its universal acclaim (Golden Globes or Emmys for the series, directing, writing, lead actress, supporting actress, and supporting actor). The show has won 20 of its 54 Emmy nominations. Rachel Brosnahan plays Midge Maisel, New York City housewife who breaks the confines of her gender role via stand-up comedy in the late ’50s and early ’60s."
The Shield                         ,8.7         ,2002–2008                                                        ,"“The Shield” surpassed most prime-time cop shows by favoring shades of gray over clear-cut moralism. In a career-defining role, Michael Chiklis played the volatile, corrupt, and yet somehow principled leader of an elite Los Angeles detective squad. He won a Primetime Emmy for his performance after the first season. The show received six Emmy nominations, winning one for Outstanding Lead Actor In A Drama Series in 2002."
The Grand Tour                     ,8.7         ,2016–2019                                                        ,"After being fired from the BBC and the popular show “Top Gear” for disciplinary reasons, presenter Jeremy Clarkson took a similar series to Amazon Prime. Clarkson brought his “Top Gear” co-presenters Richard Hammond and James May along for a show that focuses on automobiles, with a mixture of pre-taped segments and live-audience segments. The show also came to video game consoles as an interactive experience."
Dexter                             ,8.6         ,2006–2013                                                        ,"A psychopathic forensic expert takes his violent urges out on evildoers. Critics loved the novel premise, though they warned that some viewers might find the show’s gore repellant. Not too many did, apparently: The show’s finale drew 2.8 million viewers, a record for Showtime. The show took home four of the 24 Emmy Awards for which it was nominated."
Westworld                          ,8.6         ,2016–present                                                     ,"Based on the 1973 Michael Crichton film of the same name, “Westworld” is the hit HBO sci-fi series about the fictional, technologically advanced “Old West” amusement park hosted by androids. Starring Evan Rachel Wood, Thandie Newton, Jeffrey Wright, and James Marsden, its debut in 2016 earned the highest ratings for the network for a premiere since “True Detective,” and its first season ranked as the most-watched of any HBO original series."
Daredevil                          ,8.6         ,2015–2018                                                        ,"A blind lawyer fights crime by night in this Netflix adaptation of the Marvel comic. Much better received than the poorly reviewed Ben Affleck movie from a decade earlier, the success of this series was an early indicator that Marvel’s media empire could extend its bounds beyond feature films. By the series’ end, “Daredevil” had earned five Emmy nominations."
The Simpsons                       ,8.6         ,1989–present                                                     ,"America’s longest-running animated show was originally adapted from a series of shorts sandwiched between sketches on “The Tracey Ullman Show” in the late 1980s. The series has come a long way since then, spawning toys, comic books, albums, video games, a feature film, and even its own theme-park ride at Universal Studios. At the peak of its success, the show’s main cast members earned $400,000 per episode, though they’ve since agreed to multiple rounds of pay cuts in order to keep the show financially feasible for Fox."
The Queen's Gambit                 ,8.6         ,2020                                                             ,"""The Queen's Gambit,"" based on the 1983 Walter Tevis novel of the same name, centers on the character of an orphan and chess prodigy called Beth Harmon (Anya Taylor-Joy). Harmon is taught to play chess by a janitor at the orphanage, and by age 20 is headed to Moscow to compete against the world's best Grandmaster. But besides the pressure of training for such a title, Harmon battles demons—from drug and alcohol addiction to emotional problems—all along the way. Despite being short-lived, the show won 11 of the 18 Primetime Emmy Awards for which it was nominated in 2021."
Mindhunter                         ,8.6         ,2017–present                                                     ,"This Netflix crime drama follows two FBI agents who essentially write the book on criminal profiling in the late 1970s by interviewing serial killers. Leads Jonathan Groff and Holt McCallany have great chemistry in the leading roles, the former playing a meticulous idealist and the latter a gruff cynic. Critics praised the show for its cerebral plotting and creepy interview scenes with some of history’s most famous murderers. Groff took home the Best Actor in a Drama / Genre Series at the Satellite Awards in 2018. In January of 2020 Netflix told TVLine the show's third season had been put on indefinite hold."
Parks and Recreation               ,8.6         ,2009–2015                                                        ,"The brainchild of the creator and the head writer of the U.S. version of “The Office,” this workplace comedy employed that show’s same mockumentary style to depict the workings of a quirky parks and recreation department in Pawnee, Indiana. Critics initially found the show lacking compared with its predecessor, but warmed to the charms of the ensemble cast (headed up by Amy Poehler). After a shaky start, the show found its groove and became a hit for NBC. In its entire run, the show received 14 Emmy Awards nominations."
Mad Men                            ,8.6         ,2007–2015                                                        ,"When HBO famously rejected his series pitch, creator Matthew Weiner took the show over to AMC, where it redefined the network as a viable destination for prestige television. Set in the halls of a New York advertising agency in the 1960s, the acclaimed show was praised for its period authenticity, social commentary, and strong performances. Standout actors among the cast included Jon Hamm, who played the smooth-but-tortured leading man Don Draper, and Elisabeth Moss, who played a secretary who manages to rise up the ranks in the agency despite rampant misogyny in the workforce. The show garnered a whopping 116 Emmy Awards nominations during its eight-year run, winning 16 in total."
The Haunting of Hill House         ,8.6         ,2018                                                             ,"Horror filmmaker Mike Flanagan created and directed “The Haunting of Hill House.” The show is based on Shirley Jackson’s 1959 novel, with the show focusing on two different time periods revolving around a family’s paranormal experiences in the Hill House. The ensemble cast includes actors Michiel Huisman, Elizabeth Reaser, Oliver Jackson-Cohen, Kate Siegel, and Victoria Pedretti. The show was succeeded with a new story called “The Haunting of Bly Manor” in 2020."
The X-Files                        ,8.6         ,"1993–2002, January 2016–February 2016, January 2018–March 2018" ,"Mulder and Scully form the iconic duo portrayed by David Duchovny and Gillian Anderson, respectively, in “The X-Files.” The pair of FBI agents investigated cases involving the paranormal, with Mulder believing in the existence of aliens and Scully remaining the skeptic. The series was a pop culture phenomenon, spawning two feature films and two seasons for a revival. The cult classic also garnered 61 Emmy Awards nominations, winning 15 trophies."
The Crown                          ,8.6         ,2016–present                                                     ,"This acclaimed Netflix historical drama explores the life of Queen Elizabeth II. The show was created by Peter Morgan and evolved out of his award-winning 2006 film “The Queen.” Season one begins when Elizabeth (Claire Foy) is only 25 and a princess, and focuses on her relationship with grizzled Prime Minister Winston Churchill (John Lithgow). Starting in season three, Olivia Colman took over for Claire Foy as queen. The show has taken home over 20 Emmy Awards, including Outstanding Lead Actress In A Drama Series in 2021 for Olivia Coleman and Outstanding Directing For A Drama Series in 2021."
Archer                             ,8.6         ,2009–present                                                     ,"This FX animated hit milks workplace comedy from an unlikely source: a spy agency. H. Jon Benjamin lends his distinctive voice to the main character, an arrogant and juvenile superspy, while the late Jessica Walter of “Arrested Development” played his overbearing mother who also happens to run the agency."
This Is Us                         ,8.6         ,2016–present                                                     ,"This popular NBC dramedy from Dan Fogelman about three siblings struggling through adulthood is all about tugging heartstrings. Although some critics have found the proceedings too saccharine to recommend, the show has been nominated for, and has won, a number of awards. Among the awards the show received included four Emmy Awards."
Star Trek: The Next Generation     ,8.6         ,1987–1994                                                        ,"A 50,000-vote poll by StarTrek.com found that Jean-Luc Picard (played by Patrick Stewart) beat out James T. Kirk as fans’ favorite “Star Trek” captain of all time. That says a lot for this series, set 99 years after the original show, whose popularity peaked with a series finale that drew 31 million viewers. This Enterprise crew also went on to star in four feature films, the first of which combined the original series and TNG casts through a time travel plot. Among the show's accolades include 19 Emmy Awards and five Saturn Awards."
The Newsroom                       ,8.6         ,2012–2014                                                        ,"Aaron Sorkin (“The West Wing,” “The Social Network”) co-created this HBO news drama alongside producer Denis Biggs. Jeff Daniels stars as a principled but unpredictable cable news anchor. Critics found the first season smug and preachy but warmed to the show over subsequent seasons. During its run, the show was honored with the 2012 Critics' Choice Television Award for Most Exciting New Series."
Deadwood                           ,8.6         ,2004–2006                                                        ,"Series creator David Milch initially tried to pitch HBO a show set during the Roman period. But when it turned out the network already had such a show in the works (“Rome”), Milch reworked the concept to a Western frontier town setting. The show features poetic, almost Shakespearean dialogue, and standout performances from Timothy Olyphant as Deadwood’s sheriff and Ian McShane as a brothel owner. Its relatively short run left fans clamoring for more, and finally, they received a long-discussed ""Deadwood"" movie in May 2019. The ""Deadwood"" series won eight of its 28 Emmy Awards nominations and one Golden Globe."
Justified                          ,8.6         ,2010–2015                                                        ,"This FX show saw Timothy Olyphant, who played the sheriff on HBO’s “Deadwood,” portraying Raylan Givens, a maverick U.S. marshal who returns to his hometown in Kentucky to take on the criminal element there. The character of Givens is adapted from an Elmore Leonard short story. Critics praised Olyphant’s performance and the show’s seedy worldbuilding. The show brought home two of the eight Emmy Awards nominations it received during its five-year run."
Adventure Time                     ,8.6         ,2010–2018                                                        ,"This Cartoon Network show follows the adventures of a boy and his best friend, a talking dog who can change his size and shape at will, in a mystical and magical realm. While the premise may sound familiar, the show’s sweet but strange tone sets it apart. Creator Pendleton Ward has acknowledged influences as far-ranging as “Dungeons and Dragons,” “Beavis and Butthead,” and “Ren and Stimpy.” Another unusual aspect of the show is its approach to voice casting. While many animated shows employ adult actors for their child characters, “Adventure Time” cast an actual child actor (Jeremy Shada) to voice the character of Finn. As such, Finn’s voice deepened through the show’s run, as Shada progressed through puberty. The beloved animated series received 15 Emmy Awards nominations, winning eight trophies in total."
Friday Night Lights                ,8.6         ,2006–2011                                                        ,"After adapting the non-fiction book “Friday Night Lights” into a 2004 film, filmmaker Peter Berg brought this story to the small screen. Focusing on a high school football team in a small town in Texas, the series tackled a number of contemporary American societal issues. The show also accelerated the careers of actors Kyle Chandler, Taylor Kitsch, Jesse Plemons, and Michael B. Jordan. “Friday Night Lights” also received 12 Emmy Awards nominations, winning three."
Mr. Robot                          ,8.5         ,2015–2019                                                        ,"This surprise USA Network hit tells the story of a hacker named Elliot (Rami Malek) with social anxiety disorder, clinical depression, and, unbeknownst to him through most of the first season, a split personality (dissociative identity disorder). Christian Slater plays his Tyler Durden-esque alter ego with scenery-chewing aplomb. Following its four-year run, the show received 13 Emmy Awards nominations, winning three."
Sons of Anarchy                    ,8.5         ,2008–2014                                                        ,"This FX crime drama revolved around a motorcycle gang based out of Central California. Critics appreciated the uncompromising grittiness of the show and the strength of the ensemble cast, which included Ron Perlman, Charlie Hunnam, and Katey Sagal. For the sake of authenticity, the producers even cast Oakland Hell’s Angel David Labrava to play one of the biker gang members, in addition to his role as a consultant for the show. “Sons of Anarchy” earned five Emmy Awards nominations during its six-year run."
Hannibal                           ,8.5         ,2013–2015                                                        ,"Based on the Thomas Harris novels “Red Dragon” and “Hannibal,” this show sees Mads Mikkelsen stepping into the role of brilliant forensic psychologist/cannibalistic serial killer Hannibal Lecter (previously portrayed by Anthony Hopkins and Brian Cox in movie adaptations of Harris’s novels). Hugh Dancy plays his protégé, a profiler who is unaware of his mentor’s secret double life. The show employed José Andrés, a prominent restaurateur, to serve as a consultant in order to ensure that Lecter’s culinary preparation of human flesh was realistic. During its run, “Hannibal” received an Emmy Awards nomination for Outstanding Special Visual Effects In A Supporting Role in 2016."
Community                          ,8.5         ,2009–2015                                                        ,"Joel McHale plays a lawyer who’s disbarred for lying about his academic credentials and forced to attend community college in order to resume his career in this NBC favorite. He joins a study group for Spanish class that makes up the show's cast, with perfectly cast Ken Jeong playing their Spanish teacher. In addition to helping launch the career of Donald Glover, the show featured Chevy Chase in a supporting role. Chase’s public feud with the show’s writers and producers received significant media coverage toward the end of the show’s run. “Community” earned three Emmy Awards nominations during its run, including a bid for Outstanding Writing for a Comedy Series."
Spartacus                          ,8.5         ,2010–2013                                                        ,"Steven S. DeKnight, who went on to develop “Daredevil” on Netflix and “Pacific Rim: Uprising,” created the Starz show based on the historical gladiator Spartacus. Initially starring Andy Whitfield as the title character, the show focuses on the slave uprising begat by Spartacus. In 2004, the show received an Emmy nomination for Outstanding Sound Editing For A Miniseries, Movie Or A Special. Whitfield died of non-Hodgkin’s lymphoma in 2011, and Liam McIntyre replaced him in the leading role."
Shameless                          ,8.5         ,2011–2021                                                        ,"A remake of a British series, this Showtime dramedy takes on the struggles of a Chicago family headed by a deadbeat patriarch (William H. Macy) whose only concerns are what his next scheme will be and where his next beer will come from. Although some critics initially thought Macy was miscast, he has racked up three Screen Actors Guild awards for his performance in the role. The show's ninth season made it the longest-running Showtime show in the network's history. Emmy Rossum, who plays Macy's eldest daughter Fiona, did not return as a regular for the 10th season, and the show concluded with its 11th and final season in 2021. During the show's decade-long run, ""Shameless"" took home four of its 16 Emmy Awards nominations."
The Punisher                       ,8.5         ,2017–2019                                                        ,"Jon Bernthal (“The Walking Dead”) plays a vigilante superhero whose revenge quest brings him face to face with New York’s underworld. Critics found the first season to be a slow start, but Marvel fans hungry for more content between movies were willing to jump on board. The show was nominated for an Emmy Award for Outstanding Stunt Coordination For A Drama Series, Limited Series Or Movie in 2018."
